gene,p_value (FoxOTriple),LogFC (FoxOtriple)
Lztfl1 ,0.02307475,0.6375183
Rbm34 ,0.05302134,0.6374717
Arl2 ,0.01847538,0.6374608
Hist2h2be ,0.01076038,0.6369758
G6pdx ,0.04246507,0.6367058
Mmachc ,0.06366976,0.6360858
Abhd6 ,0.01706743,0.635955
Olfr558 ,0.00976073,0.6357742
Pldn ,0.04690548,0.6357708
Tatdn1 ,0.02354447,0.635675
AI316807 ,0.04991705,0.6355842
Polr3k ,0.02900029,0.6355333
Sgtb ,0.04921828,0.63552
Hbp1 ,0.03512516,0.63551
Chpt1 ,0.03172771,0.6348075
101511,0.10939508,0.6338392
Srp9 ,0.02907282,0.6337008
Car5b ,0.06417511,0.6318992
C1galt1c1 ,0.02918546,0.631415
Golph3 ,0.09080067,0.6311917
Tnfrsf12a ,0.18526958,0.6311767
Pdcd4 ,0.06021064,0.63115
Ctps2 ,0.02202926,0.6308292
Ccdc127 ,0.09204073,0.6307408
Arpp19 ,0.07483765,0.6305333
Serinc2 ,0.10758179,0.6305017
Imp4 ,0.05659879,0.6304742
Itga2 ,0.11679137,0.6302567
Glce ,0.09860814,0.6302258
Exosc1 ,0.04445135,0.6302058
Rell1 ,0.10185469,0.6299608
Crip1 ,0.00559867,0.6296833
Vps24 ,0.03577149,0.6296725
Srr ,0.01931231,0.6289092
A930001N09Rik ,0.00628088,0.6283033
Cfl2 ,0.07928243,0.6282975
Yipf5 ,0.10163219,0.6276667
Gnai3 ,0.08148444,0.62729
Pgpep1 ,0.02562193,0.6271208
Trappc4 ,0.03846902,0.6267383
Phf5a ,0.03330737,0.6265758
Elovl2 ,0.04133708,0.6265108
Rgs19 ,0.00119069,0.6260933
Crot ,0.01430797,0.6259108
Pemt ,0.03111374,0.6254767
Yars2 ,0.02830362,0.6254167
Bcap29 ,0.04246175,0.6250517
Adal ,0.02246228,0.6247275
Bbs5 ,0.07509375,0.6244242
Rad18 ,0.11317684,0.62434
Snrnp27 ,0.02460313,0.62421
Rab11a ,0.04792973,0.6241617
Hdac2 ,0.01905694,0.62406
Spon2 ,0.02652843,0.6234542
1700047I17Rik1 ,0.10359271,0.6233242
Nap1l2 ,0.08015385,0.6231817
Rras ,0.01463983,0.62303
Fam54b ,0.09708747,0.6225667
1810007P19Rik ,0.07158969,0.62219
Ssr3 ,0.11153954,0.6221083
Nme6 ,0.06176134,0.6219842
2900064A13Rik ,0.11616817,0.6214833
Olfr427 ,0.01239707,0.6213658
Triap1 ,0.05641716,0.6213142
Slc10a3 ,0.01699546,0.6213092
Paip1 ,0.03956027,0.6210775
Tmem161b ,0.02115712,0.6210508
Car13 ,0.11618088,0.6208458
Rab5a ,0.08048519,0.6208233
Rab39b ,0.09165053,0.620515
N6amt2 ,0.02769812,0.6198517
Lgi2 ,0.10325756,0.6193767
Fgf9 ,0.00684305,0.619335
Ppp1cb ,0.07257278,0.6192833
Rragd ,0.04261319,0.6191392
Mrps23 ,0.05192381,0.61875
Cdc42se2 ,0.11477269,0.6185742
Trdmt1 ,0.03502188,0.6184075
Ssna1 ,0.00506629,0.6183317
Xpo7 ,0.06776906,0.617825
Glod4 ,0.05690586,0.6172025
Tmem33 ,0.06170276,0.6169933
Slc25a11 ,0.0752356,0.6168408
Uba3 ,0.04445231,0.6165033
Nab2 ,0.14592773,0.61633
D3Ertd751e ,0.06768436,0.6153967
Vps4a ,0.0517108,0.6147942
AI847670 ,0.02185467,0.6144458
Sccpdh ,0.12491644,0.6137717
Ndfip1 ,0.0551157,0.6134167
Lactb2 ,0.09716929,0.61296
Mfsd1 ,0.05601265,0.6127008
1810063B05Rik ,0.01057635,0.6126975
Gtpbp8 ,0.03426969,0.6124325
Asns ,0.14363329,0.6123333
M6pr ,0.08850611,0.61177
2310036O22Rik ,0.0348073,0.6115
Vps35 ,0.09449735,0.61065
Golga7 ,0.02028399,0.610625
Olfr776 ,0.01593934,0.6103975
Zfp260 ,0.00373269,0.6103292
Myo1e ,0.31779359,0.6102542
Apobec2 ,0.08988033,0.6100992
N6amt1 ,0.02801048,0.6100942
Sh3gl2 ,0.03534183,0.6096075
Lypla1 ,0.0675394,0.6095567
Orc3l ,0.01675811,0.6095208
Slc25a38 ,0.03605587,0.6095
Fbxl4 ,0.03340271,0.6094033
Med18 ,0.06225883,0.60936
Fam125a ,0.01776486,0.6092958
Nudt7 ,0.01176362,0.6088833
91484,0.02256007,0.6082742
Rnf2 ,0.02081578,0.6082733
38450,0.0426554,0.6080942
Btd ,0.05436595,0.6078967
Derl3 ,0.05783709,0.6078067
1200009F10Rik ,0.04155003,0.6077908
Gdap1 ,0.0443587,0.6073792
Tceb1 ,0.02241763,0.6073358
Acat1 ,0.01232649,0.6066525
Mnd1 ,0.04909935,0.6065325
Olfr873 ,0.12631406,0.6062033
Mansc1 ,0.03484841,0.6061442
Scand1 ,0.01619037,0.606075
Zfp809 ,0.02251585,0.6060208
Tmem165 ,0.05896751,0.6058467
E430002G05Rik ,0.06521615,0.605645
4933439F18Rik ,0.05086101,0.60487
Rab22a ,0.13443697,0.60481
Lsm4 ,0.03287354,0.6043808
Fahd1 ,0.07709072,0.6038167
Slc30a6 ,0.08373207,0.6037433
Rhog ,0.13826616,0.6037158
Vamp3 ,0.11472168,0.6036025
Aldh3a2 ,0.07847844,0.6034617
2310061C15Rik ,0.02630752,0.6032733
Adk ,0.01450449,0.6024925
Zfp54 ,0.03175544,0.6023625
Rpl29 ,0.03049957,0.6020467
Smpd1 ,0.07675447,0.6019925
Lrrc41 ,0.09395063,0.6019625
Gstm5 ,0.06220689,0.6017942
Nudt9 ,0.02271468,0.6015417
Dynlrb1 ,0.0289283,0.6014667
Dek ,0.03625224,0.6014533
Stk3 ,0.01398112,0.6013817
Stoml2 ,0.11900943,0.6012967
Plrg1 ,0.04700124,0.6011475
Zfp770 ,0.00953857,0.6000525
Tfb1m ,0.03751207,0.599595
Rfesd ,0.01136985,0.5994692
Sptlc2 ,0.06189048,0.5989383
Echs1 ,0.02082575,0.5987025
Prkar2a ,0.0612967,0.5984617
Ttc1 ,0.04618637,0.5984492
Ggh ,0.11954724,0.5982192
Pxmp3 ,0.0166026,0.5981683
Tspan31 ,0.06522729,0.5979167
Pcbd1 ,0.03751433,0.5978583
Mars2 ,0.0470432,0.597845
Tmed4 ,0.06292935,0.5975917
8430410K20Rik ,0.06073404,0.597295
Osgepl1 ,0.00697722,0.5971575
7H6S56E-5 ,0.14303781,0.5971158
Mospd2 ,0.03696542,0.5970125
Cul2 ,0.07857187,0.5968967
Ppib ,0.15409242,0.5968917
4930455C21Rik ,0.04665184,0.5965308
Sod2 ,0.12749668,0.5961975
Sgk2 ,0.37092598,0.5955267
Suhw4 ,0.01046977,0.5953092
Zfp189 ,0.04650487,0.5952758
Gadd45b ,0.01305565,0.5951842
St7l ,0.0432582,0.5949767
Snx18 ,0.060451,0.5947125
Tmem69 ,0.02401152,0.594435
Nampt ,0.0581041,0.5943133
Cldn4 ,0.21187743,0.594125
Fam179b ,0.04378271,0.5936225
Serp1 ,0.10959207,0.5933833
Stx8 ,0.00547521,0.5932792
Olfr1417 ,0.01704613,0.5932325
Nit2 ,0.04065388,0.5929575
Atp5b ,0.05296916,0.59285
Setmar ,0.01355047,0.5925658
Cd151 ,0.02287036,0.5925333
Ifitm3 ,0.26985581,0.592465
Prdx1 ,0.12561692,0.5919217
Zdhhc21 ,0.07613125,0.5912267
Rab5c ,0.07368445,0.5911458
Zfp358 ,0.03736416,0.5911025
Tfg ,0.06189087,0.590675
Ndufa13 ,0.01837691,0.5906025
Olfr323 ,0.02310315,0.589805
Tubb2b ,0.00986846,0.5897658
2010204K13Rik ,0.01437012,0.589675
Zfp35 ,0.10974761,0.58943
Api5 ,0.08341661,0.5891692
Mettl8 ,0.04794682,0.588765
Cdkal1 ,0.01641383,0.5886142
Mmp13 ,0.05475056,0.5885525
Abhd10 ,0.13617632,0.5885358
Pcdhb14 ,0.01846412,0.5883642
Mff ,0.04682935,0.5882733
Lass6 ,0.0418825,0.58827
Baiap2l1 ,0.15057804,0.5877158
Bub3 ,0.08083782,0.5875783
114004,0.21960726,0.5874742
Maoa ,0.04747405,0.5872683
Ccdc91 ,0.06374855,0.5870158
Hacl1 ,0.01756793,0.5866883
Cbwd1 ,0.02745591,0.5863567
Pcbp4 ,0.05864313,0.5863533
Tmem27 ,0.03466481,0.5861833
Pop4 ,0.04674697,0.5861508
Tnfaip8 ,0.02368135,0.5853117
Ppargc1a ,0.27414753,0.5850442
Metap2 ,0.10384044,0.5849892
Gclm ,0.18572163,0.5849875
Hddc3 ,0.00872436,0.5847858
Fkbpl ,0.03662423,0.5846267
Nipa1 ,0.09935941,0.5843042
Gpr6 ,0.08948539,0.5840758
Dctn6 ,0.0413162,0.5840575
Homez ,0.00741027,0.58363
Hexb ,0.07567265,0.5834925
4933433P14Rik ,0.09386378,0.5832442
Tm4sf1 ,0.13847687,0.58324
Cap1 ,0.07027569,0.583175
Slc36a4 ,0.15263832,0.58303
Etf1 ,0.07541726,0.58259
0610006I08Rik ,0.01038249,0.5824792
Phf10 ,0.08499786,0.581245
Atg4a ,0.03853903,0.58098
V1rc30 ,0.0073761,0.5806492
Elmod1 ,0.1382273,0.5805117
1110036O03Rik ,0.06776519,0.5804717
Oxsm ,0.04924377,0.5804342
Galc ,0.02824338,0.580285
Trappc2l ,0.00477588,0.5801933
Exoc6 ,0.04975058,0.5799525
Itfg1 ,0.09176203,0.5798333
Nqo1 ,0.02238427,0.5796533
Sugt1 ,0.05549312,0.5791617
Gramd1c ,0.00844403,0.5788833
Txndc16 ,0.06254448,0.5788158
Bbs4 ,0.02328326,0.5782117
2700038C09Rik ,0.02803882,0.5778558
Atp5d ,0.0736669,0.5775917
Mrpl19 ,0.09079601,0.5770942
Pddc1 ,0.0657014,0.5770675
Tubb5 ,0.15427378,0.5761583
Spg21 ,0.0812169,0.5759367
Adi1 ,0.06927578,0.5759242
Smarca1 ,0.06330693,0.5758975
6530401N04Rik ,0.03180943,0.575625
Morn2 ,0.04035502,0.5753975
Cept1 ,0.0240109,0.5749808
Eif5a2 ,0.01692902,0.5748408
Opcml ,0.010614,0.574805
Zfp422 ,0.0449246,0.5745442
Rabif ,0.10966516,0.5740658
Prmt5 ,0.02706737,0.5740167
Zfp68 ,0.01806969,0.5740133
Tfam ,0.04357362,0.5739025
Nudt12 ,0.00820124,0.5738033
Zik1 ,0.02602392,0.5735308
Zfp617 ,0.01085675,0.5728675
Mtmr9 ,0.08199137,0.5725467
Lgals8 ,0.08891076,0.5723875
Zfp799 ,0.02996053,0.5721408
Rb1cc1 ,0.01015929,0.5720292
Ikzf5 ,0.03325314,0.5713383
Lmo1 ,0.08775818,0.5712233
Clybl ,0.02271574,0.5711808
Amz2 ,0.02931786,0.5709992
0610010O12Rik ,0.07861677,0.57064
Wdr92 ,0.06226392,0.5705608
Abhd4 ,0.05331933,0.57025
L2hgdh ,0.03357032,0.5700667
Fbxo30 ,0.0216295,0.5700042
1700123O20Rik ,0.02968746,0.5695283
Tfrc ,0.04145928,0.5693417
9130011J15Rik ,0.02630728,0.5692917
Aldh1l2 ,0.09900676,0.5690667
Ttyh1 ,0.01479888,0.5689225
Eif1ad ,0.11974354,0.5688525
Maob ,0.04057233,0.568575
Mpi ,0.00617511,0.5683242
Cep27 ,0.13179334,0.5682925
Tmem168 ,0.04603153,0.5681475
3830406C13Rik ,0.02896948,0.5677767
Tmem64 ,0.02784627,0.5676108
Pigk ,0.03588514,0.5673883
2010106G01Rik ,0.05443723,0.5673867
Mmadhc ,0.01448649,0.5670708
Rabl5 ,0.0625095,0.5669058
Lcorl ,0.03591938,0.5667892
Nup43 ,0.0394978,0.5665475
Nat13 ,0.03776744,0.5658225
Fam164a ,0.04142329,0.5656075
Vrk2 ,0.00571179,0.5654733
Ubiad1 ,0.07254539,0.5654208
Isca2 ,0.02396568,0.5652408
2310047O13Rik ,0.05907556,0.5651533
Zfp248 ,0.01200029,0.5650517
Gmfb ,0.09603193,0.5650108
Mlx ,0.03696148,0.5649575
Vbp1 ,0.01471268,0.5649308
Kti12 ,0.04108031,0.564825
Pex19 ,0.04321875,0.5630567
Snx3 ,0.09879668,0.5626775
Prdx2 ,0.03022216,0.5625592
Gnl3l ,0.07929998,0.5624683
Vat1l ,0.08315745,0.5623775
Gstm4 ,0.03339124,0.56229
4930579K19Rik ,0.00784694,0.5622442
Glb1 ,0.0338428,0.5622025
Lrrn1 ,0.05002256,0.5619583
Ninj1 ,0.12068886,0.5619167
1110032A03Rik ,0.05344219,0.5611008
Slitrk6 ,0.01241535,0.5608917
Tprkb ,0.09125823,0.5607417
Fktn ,0.02625716,0.5606225
Dnalc1 ,0.07888854,0.5605667
Rag1ap1 ,0.05171323,0.5602167
Uqcrc2 ,0.06314716,0.5601333
Zfp595 ,0.00532074,0.5600675
Pgf ,0.06421662,0.5600458
Gng5 ,0.04207961,0.559975
Tagap1 ,0.02029928,0.5598692
Il1rap ,0.07757663,0.5598275
Hdac9 ,0.13148313,0.5597992
Cd53 ,0.17852854,0.5596358
Tmem138 ,0.11740805,0.5591483
Slu7 ,0.06797558,0.5590983
Rapgef5 ,0.284413,0.5590092
4930471M23Rik ,0.08446651,0.5588367
Zswim6 ,0.36464102,0.5587133
Arl6ip1 ,0.08616403,0.5580558
Gdi2 ,0.0589405,0.5580417
Nat2 ,0.04182264,0.5579725
Lyrm4 ,0.06650278,0.5579575
Ccdc132 ,0.02253884,0.5579025
Nudcd2 ,0.04198393,0.5574783
Ypel5 ,0.03399031,0.5573917
Cdc27 ,0.02384217,0.557225
Gsdma1 ,0.14907039,0.5568733
Ppp1r7 ,0.07854799,0.5567717
Psma2 ,0.02814775,0.55675
Rybp ,0.09941693,0.5564058
BC016423 ,0.01684944,0.5558575
Rwdd1 ,0.05718636,0.5558258
Arl10 ,0.11517508,0.55557
Serf1 ,0.01393271,0.5550542
Tpd52l1 ,0.00136946,0.5549192
Casq2 ,0.02194033,0.554545
Ubxn8 ,0.12006992,0.55439
1200011I18Rik ,0.04129497,0.5541642
Ddx58 ,0.20368016,0.5541192
Zfp623 ,0.1609441,0.5539583
Olfr1491 ,0.03344687,0.5538417
Mpv17l ,0.03431941,0.5536008
Ndufv2 ,0.01961315,0.55355
Nol7 ,0.01637109,0.5533375
2310030G06Rik ,0.00744985,0.5532117
Fhl3 ,0.26903318,0.55318
Atg12 ,0.02052119,0.5527383
A130010J15Rik ,0.08331831,0.5526267
Tlr2 ,0.07334711,0.5525183
Stx12 ,0.13488098,0.552285
Il10rb ,0.06731523,0.5521983
5133401N09Rik ,0.03906527,0.5521092
6330409N04Rik ,0.06244369,0.5520983
Scel ,0.24045642,0.5520192
Apip ,0.02780863,0.55192
Mtpn ,0.07551659,0.5518883
Fstl5 ,0.01659123,0.5515908
Gdpd1 ,0.03825408,0.5515433
Grem2 ,0.00880394,0.55111
Orc2l ,0.07824926,0.5510042
Fgl2 ,0.18758721,0.5509592
Stc1 ,0.40538278,0.5506125
Ctxn1 ,0.0259409,0.5496525
2610209A20Rik ,0.0736622,0.5494408
Rps25 ,0.11592934,0.5493792
Sh3bgrl3 ,0.05483458,0.5493125
Nip7 ,0.03591851,0.5491025
Dennd1b ,0.05979978,0.5486042
Fam132a ,0.02357106,0.5485017
Sec11c ,0.07215059,0.5482817
Eif3l ,0.08743662,0.5479733
Rps4y2 ,0.11269165,0.5478458
Dusp7 ,0.22481194,0.5478292
Psme3 ,0.08706983,0.5476567
Cyc1 ,0.0277124,0.5475608
Fem1b ,0.19021547,0.5474617
Mrpl32 ,0.12044937,0.5473825
Fgf12 ,0.01565603,0.5471867
Mgst3 ,0.07689879,0.5470592
Stambpl1 ,0.02945016,0.5467508
Zfp688 ,0.04386629,0.5467242
1810035L17Rik ,0.03724411,0.5463992
Urod ,0.02713499,0.5463175
Aldh9a1 ,0.0422582,0.5456592
Mapk10 ,0.34623611,0.5452617
Gcnt1 ,0.14593392,0.5446275
1700073E17Rik ,0.05419529,0.5444033
Scn3b ,0.01273527,0.5442067
3110040N11Rik ,0.04861445,0.54418
Mtmr1 ,0.22936972,0.5439725
Fam19a1 ,0.00217931,0.5438767
Ppm1e ,0.00949004,0.5437208
Rhoj ,0.09789665,0.543695
Elovl1 ,0.12530673,0.5433892
Ctbs ,0.01431145,0.54313
Arl8b ,0.09631083,0.5430583
2010011I20Rik ,0.04219227,0.5428225
Gzmk ,0.01903056,0.54252
Appbp2 ,0.08451625,0.5423258
Abce1 ,0.06917553,0.5420083
Wdyhv1 ,0.07272254,0.54162
Sephs1 ,0.05235162,0.5415292
Sys1 ,0.10747572,0.5414117
F3 ,0.05789443,0.5413858
Isg20 ,0.10617215,0.541125
Sucla2 ,0.06562629,0.5411017
Cetn3 ,0.00567956,0.5409733
Cul3 ,0.06070605,0.540875
Pigh ,0.01006298,0.540745
Alkbh8 ,0.02071808,0.5407067
Efcab2 ,0.02565982,0.5406942
Prim1 ,0.01172648,0.5406442
Ocln ,0.12069848,0.5405092
Dpp4 ,0.11553725,0.5400617
Dnajc24 ,0.01588784,0.5399917
Elf1 ,0.07564232,0.5399692
F8 ,0.02171783,0.5395258
AW549877 ,0.02952094,0.5394467
Cebpg ,0.12588622,0.539445
Tagln2 ,0.23184316,0.5392583
Hsdl2 ,0.02518706,0.5392008
Etv1 ,0.02959978,0.539005
Igfbp7 ,0.14347763,0.5387167
Mcl1 ,0.10208192,0.5386183
Fbxo25 ,0.03220252,0.5384675
Hist1h4d ,0.15896249,0.538425
Ch25h ,0.00782524,0.5384217
9330133O14Rik ,0.04930094,0.5382925
Ssu72 ,0.13268732,0.538045
Glb1l2 ,0.07514429,0.5379992
Tm9sf2 ,0.07529598,0.53795
Gabrg1 ,0.0197495,0.53764
Hint3 ,0.03028911,0.5373225
1810029B16Rik ,0.04034205,0.5373133
Rnd2 ,0.04871288,0.5371825
1110058L19Rik ,0.15764255,0.537005
Dse ,0.05200358,0.5369267
a2ld1 ,0.04193409,0.5368717
Mpp1 ,0.06343849,0.5368342
Pttg1ip ,0.09916393,0.536625
Rpl37 ,0.15104656,0.5365908
Zfp654 ,0.01158167,0.5365383
Abt1 ,0.07568332,0.5362367
Zbtb41 ,0.02865307,0.5362225
Otub2 ,0.2261837,0.5361558
EG368203 ,0.11043512,0.5361158
Ube2e1 ,0.08513541,0.5360592
Pex13 ,0.01660982,0.535975
Naaa ,0.01881507,0.5356858
Rab19 ,0.03206017,0.5355233
Rnaseh2b ,0.01163959,0.5354925
Fbxl5 ,0.04421449,0.5354717
Nop10 ,0.04988296,0.5354567
2610024G14Rik ,0.04500075,0.5352242
Atg3 ,0.04315155,0.5351542
Slc26a2 ,0.05947377,0.5348033
Cgrrf1 ,0.10224124,0.5346008
Ddit4l ,0.01305229,0.5345742
Eif2s2 ,0.06086503,0.5345575
2810422O20Rik ,0.04751642,0.5345042
Fnta ,0.02916417,0.5342517
Insig2 ,0.07582602,0.5339992
Cat ,0.01219704,0.5336575
Gtdc1 ,0.0716508,0.5335675
2010007H12Rik ,0.00909041,0.5335367
Casd1 ,0.02249086,0.5334975
6330416L07Rik ,0.00242191,0.5333333
Enpp4 ,0.04881085,0.5331417
Tmem41b ,0.0223126,0.5328292
Mtmr10 ,0.09741944,0.532705
Ccdc32 ,0.02451528,0.5322958
Paip2 ,0.02163809,0.5322917
Isoc1 ,0.07024088,0.5322583
BC011426 ,0.02935376,0.5321267
Utx ,0.02067107,0.531965
Mrpl14 ,0.01180464,0.5316675
Vkorc1 ,0.05148731,0.5315575
Mrpl47 ,0.13503153,0.5315375
Sgpp1 ,0.03492104,0.5314925
Hist1h2ba ,0.05692629,0.5312867
Supt4h1 ,0.19523372,0.5312808
6530401D17Rik ,0.05357703,0.5309767
Ctsl ,0.17146898,0.5308833
Taok1 ,0.0091062,0.53065
Dpy19l3 ,0.04805369,0.5305967
Cmpk2 ,0.16055653,0.530595
Cdca4 ,0.12695804,0.5303592
Vwa5a ,0.09644635,0.5303275
Itih2 ,0.09104674,0.5300533
Dexi ,0.03211193,0.5300217
Exosc8 ,0.09137702,0.5299733
Prkaa2 ,0.03690121,0.52996
Hectd2 ,0.23113224,0.5298058
Cd274 ,0.22318853,0.5296192
Cdo1 ,0.01459594,0.5295525
Slc25a46 ,0.0891894,0.5294775
Ctns ,0.08049036,0.5294033
Zmat5 ,0.02121605,0.5292758
Spcs3 ,0.13105752,0.52925
Tfpi ,0.09764879,0.5290942
Zmat2 ,0.06315699,0.5289867
Ephx1 ,0.04726717,0.5287767
Lipa ,0.08504079,0.5285692
Dyrk3 ,0.13585298,0.5285525
AW209491 ,0.0151447,0.5281592
Snx16 ,0.03610181,0.5274908
Msl3 ,0.04423905,0.527375
1810046J19Rik ,0.02185916,0.5273083
3110043O21Rik ,0.1047638,0.5269758
Slc25a20 ,0.02648347,0.5269067
Slc35b2 ,0.06731136,0.5266417
Cpn1 ,0.0594914,0.5264917
D330012F22Rik ,0.05380458,0.526165
Mocs2 ,0.07085037,0.5256858
Mrps22 ,0.03428605,0.525425
3110002H16Rik ,0.11254164,0.525335
Prdx4 ,0.17157698,0.5252283
Arl6ip6 ,0.04542459,0.5249358
Rfk ,0.09783444,0.5243892
Tubb6 ,0.21058254,0.52398
Ssbp1 ,0.08834566,0.5239542
Ttc8 ,0.02022365,0.5238683
Sacs ,0.1286729,0.5236025
Ppme1 ,0.03787311,0.52355
Rps6ka3 ,0.10340803,0.52351
Ap3s2 ,0.03543299,0.5232667
Olfr667 ,0.19956425,0.523255
Ripply3 ,0.00911231,0.5228292
B3gnt2 ,0.10746904,0.5226925
Asb13 ,0.014966,0.5226708
Yme1l1 ,0.06039413,0.5225
Zdhhc20 ,0.05707925,0.5224958
Osgin2 ,0.0288547,0.522385
9330169L03Rik ,0.02854139,0.5221758
Vsig1 ,0.03888887,0.5221642
Mdm2 ,0.15444486,0.5221625
Oxa1l ,0.08620653,0.5221258
Ube2q2 ,0.2136433,0.5220042
Gpbp1 ,0.02554097,0.5214417
Ankrd34c ,0.08834745,0.5213583
Tmem50a ,0.06238573,0.5212417
Mrps11 ,0.01609062,0.5209583
2610034B18Rik ,0.06873457,0.5208475
Ugp2 ,0.05910347,0.5207117
Alg12 ,0.09623443,0.5206075
Fcer2a ,0.09707006,0.5197083
Rg9mtd1 ,0.02901615,0.5195833
Ankrd56 ,0.13869544,0.5189825
Atp5s ,0.01860587,0.5189783
Arhgap18 ,0.10712564,0.5187967
Xpa ,0.01784134,0.5184
0610007P14Rik ,0.06077026,0.518275
Prlr ,0.00591344,0.5181417
Sep.15,0.03862123,0.5167333
Arl16 ,0.02856509,0.5162508
Dad1 ,0.09710412,0.5162
Ostc ,0.02142491,0.5159167
Ppp3cb ,0.03890915,0.5159
Eif4e ,0.14113585,0.5157358
Cryzl1 ,0.00957949,0.5156025
2810452K22Rik ,0.04637085,0.5155525
Dhrs11 ,0.01842076,0.5147533
Vps41 ,0.02146427,0.5144842
Entpd4 ,0.00104763,0.5143333
Pes1 ,0.1165012,0.5139375
1700025K23Rik ,0.03519993,0.5139067
Txndc1 ,0.03551073,0.5138417
Sqrdl ,0.13387728,0.5136908
Arf6 ,0.11971971,0.5135417
Sec62 ,0.057031,0.5135367
Bcap31 ,0.03609182,0.5131208
Sub1 ,0.0724166,0.5129242
Atg4c ,0.05782845,0.5125942
Impa1 ,0.01108421,0.51222
Gnat2 ,0.11093317,0.5120167
2310004N24Rik ,0.01931649,0.5119058
Shoc2 ,0.0622566,0.5116083
Zfp750 ,0.06318179,0.5115983
Txn2 ,0.07250691,0.5115275
B3gnt3 ,0.09473904,0.5112283
C630028N24Rik ,0.00615933,0.5110817
Snap29 ,0.01838624,0.511025
Tlr7 ,0.04453397,0.5108075
Olfr611 ,0.11688802,0.5106367
Cox6c ,0.02482247,0.51055
Ftsj1 ,0.02015221,0.5105325
Lgals12 ,0.0087536,0.5104458
Snx7 ,0.04836944,0.5104067
Gpd1l ,0.03391854,0.5100842
Lta4h ,0.08423883,0.5100833
Nudt5 ,0.0265734,0.5099442
Eif3f ,0.02797452,0.5099083
Lrrtm2 ,0.02835303,0.5098417
Psmd8 ,0.08547731,0.5096858
Wdr32 ,0.09699439,0.5094833
Hrsp12 ,0.07076293,0.5092333
Cog6 ,0.07396113,0.5090975
Atp6v1b2 ,0.09617389,0.508975
Cdadc1 ,0.03920038,0.5088392
Dhfr ,0.07319193,0.5086708
Cdk5 ,0.01927052,0.5084967
Gpd1 ,0.14043637,0.50832
Alkbh6 ,0.04497174,0.50796
Auh ,0.08186008,0.5079525
Use1 ,0.00862719,0.5079
Tm2d3 ,0.04173855,0.507615
Coq3 ,0.02476732,0.5070008
Mett5d1 ,0.00915392,0.5069883
Gltpd1 ,0.11152603,0.5066842
Kcne3 ,0.28466528,0.5065408
Kdelr3 ,0.06939685,0.5064742
Slc35e3 ,0.04833758,0.5063667
Polr2g ,0.07228007,0.506345
4733401H18Rik ,0.05620685,0.5063425
114631,0.04920512,0.5062833
P2ry12 ,0.02669873,0.5062217
Tmem87a ,0.02496822,0.5061408
Vstm2a ,0.0155413,0.5060292
Tmem67 ,0.12656712,0.50589
Rps5 ,0.07143712,0.5057333
Mrpl41 ,0.00878654,0.5054383
Arf4 ,0.09231783,0.5053167
Pdk3 ,0.08864364,0.5051992
Hisppd1 ,0.05610205,0.5049808
Cggbp1 ,0.11370431,0.5047183
100043111,0.07586525,0.5042692
Snapc5 ,0.03764479,0.5040033
Twf1 ,0.1446994,0.50385
Vps28 ,0.07218025,0.5034833
Zhx1 ,0.03021272,0.503455
Magohb ,0.04100863,0.5029542
Tspan2 ,0.13285737,0.5026075
Lamp2 ,0.04905429,0.5025167
Hmox1 ,0.06551664,0.5024067
Clp1 ,0.08298385,0.5022942
Rcn2 ,0.04676828,0.5018142
Fbxo16 ,0.03651301,0.5017058
Them2 ,0.03957814,0.5016383
Fbxo6 ,0.05869888,0.5015617
Camk1d ,0.05499934,0.5015592
Mtif3 ,0.04237409,0.5012933
Taf1d ,0.00466453,0.5008458
Tmem179b ,0.03615153,0.5005275
Ubtd2 ,0.04172354,0.5001333
Cdipt ,0.14612627,0.5001083
Hsd17b12 ,0.18562726,0.4999783
Samm50 ,0.03776645,0.49992
Vhl ,0.07580377,0.49987
Polr3f ,0.03415185,0.4998425
Wibg ,0.0416266,0.4998283
Atp1b3 ,0.01500184,0.4997717
Immp1l ,0.04881571,0.4996767
Mmgt2 ,0.04408562,0.4996667
Mrpl39 ,0.02842686,0.4995442
Gsbs ,0.06266723,0.4992908
Ifna14 ,0.29919827,0.49883
Fbxo4 ,0.06761469,0.4985192
Magt1 ,0.07332437,0.4983
Rab1b ,0.04920462,0.498125
Tspo ,0.01848719,0.4980967
Msra ,0.02971378,0.49806
Acadsb ,0.02247562,0.4980508
Rbbp6 ,0.09161387,0.497985
Mgat4a ,0.06896257,0.4978017
1110018J18Rik ,0.04794781,0.4977792
Degs1 ,0.07868652,0.4977667
Dync2li1 ,0.03521781,0.4976983
Mkks ,0.07430842,0.4976583
Cltb ,0.10849438,0.49755
Neu2 ,0.01352886,0.4973017
D11Wsu99e ,0.05936382,0.4972342
Stat4 ,0.07513013,0.4972075
C330011K17Rik ,0.09553722,0.4972033
Crcp ,0.03531186,0.4971508
Cct4 ,0.08257764,0.4970908
Med7 ,0.08102346,0.496685
Cul5 ,0.0321067,0.4966733
Olfr582 ,0.06170381,0.4966592
Acta2 ,0.09475745,0.4964825
Klhl24 ,0.04203878,0.4962967
Dld ,0.06731693,0.4962633
Calcb ,0.0840105,0.4961683
Mx1 ,0.2132572,0.49597
Lrriq3 ,0.00971232,0.495485
Bnip3l ,0.05090388,0.4951583
Tal2 ,0.03931733,0.4950275
